Transaction ID,Date,Transaction Type,Amount,Account Balance,Description
1,2025-01-01,Deposit,1500,1500,Salary deposit
2,2025-01-05,Withdrawal,500,1000,ATM withdrawal
3,2025-01-10,Deposit,2000,3000,Transfer from friend
4,2025-01-15,Withdrawal,300,2700,Grocery shopping
5,2025-01-17,Deposit,1000,3700,Gift from family
6,2025-01-20,Withdrawal,200,3500,Online shopping
7,2025-01-22,Withdrawal,150,3350,Dining out
8,2025-01-25,Withdrawal,400,2950,Utility bills
9,2025-01-27,Withdrawal,600,2350,Health and fitness
10,2025-01-30,Withdrawal,350,2000,Entertainment
